Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Rolling_14,Std_14,Upper_band,Lower_band
2018-05-02,AXISBANK,EQ,517.3,518.5,527.95,515.4,524.85,523.75,521.0,25195767,13127115353.35,139798,18143773,72.01,1.2468586893485512,Positive,520.4571428571426,17.998288990719647,556.4537208385818,484.46056487570326
2018-05-03,AXISBANK,EQ,523.75,522.0,538.8,522.0,533.1,533.4,532.25,12001916,6388016683.65,121909,4006823,33.38,1.842482100238652,Positive,519.3607142857139,16.551553245397233,552.4638207765084,486.25760779491947
2018-05-04,AXISBANK,EQ,533.4,533.9,533.9,519.05,522.25,520.3,524.42,5929870,3109742181.25,57867,1816191,30.63,-2.4559430071241173,Negative,517.7714285714283,15.16366753746832,548.0987636463649,487.44409349649163
2018-05-07,AXISBANK,EQ,520.3,523.75,537.9,523.0,536.1,536.1,531.8,6792091,3612042958.15,88312,2845627,41.9,3.0367095906208124,Among top gainers,517.3214285714283,14.453409423250358,546.2282474179291,488.41460972492763
2018-05-08,AXISBANK,EQ,536.1,536.65,547.5,533.45,543.1,542.25,541.69,12028184,6515564184.0,149489,6965165,57.91,1.14717403469502,Positive,518.0249999999997,15.449306058602279,548.9236121172044,487.1263878827952
2018-05-09,AXISBANK,EQ,542.25,543.1,549.65,537.05,548.5,548.5,546.13,7556830,4126996171.45,76571,3617869,47.88,1.152604887044717,Positive,520.1857142857141,17.466819407660754,555.1193531010356,485.2520754703926
2018-05-10,AXISBANK,EQ,548.5,548.5,554.0,542.95,546.05,547.65,548.17,11415139,6257459203.55,82471,6351740,55.64,-0.15496809480401996,Slight or No change,522.6678571428569,18.772152115700422,560.2121613742577,485.12355291145604
2018-05-11,AXISBANK,EQ,547.65,548.6,556.5,545.5,556.0,553.3,549.78,4960854,2727391379.6,73337,2353813,47.45,1.0316808180407255,Positive,526.067857142857,19.747829551068826,565.5635162449946,486.5721980407193
2018-05-14,AXISBANK,EQ,553.3,551.2,558.9,547.55,551.1,551.9,552.28,4999526,2761121573.2,51388,2265523,45.31,-0.2530272908006448,Slight or No change,529.3321428571427,19.986703340961483,569.3055495390656,489.35873617521975
2018-05-15,AXISBANK,EQ,551.9,548.0,563.5,547.35,549.1,549.7,554.22,6752759,3742534996.95,84541,2614950,38.72,-0.3986229389381979,Slight or No change,532.535714285714,19.34481075887636,571.2253358034667,493.8460927679613
2018-05-16,AXISBANK,EQ,549.7,545.0,552.75,541.05,549.0,550.0,546.56,9929095,5426822287.35,66724,5575224,56.15,0.054575222848818335,Slight or No change,536.2214285714283,17.12949227194242,570.4804131153131,501.9624440275435
2018-05-17,AXISBANK,EQ,550.0,550.0,553.0,536.5,537.25,539.45,545.52,8551787,4665205167.15,81469,5236859,61.24,-1.918181818181808,Negative,539.485714285714,11.999606220646317,563.4849267270067,515.4865018444214
2018-05-18,AXISBANK,EQ,539.45,536.8,540.7,528.5,535.0,532.9,534.93,7343619,3928337002.25,81655,3948741,53.77,-1.2141996477894268,Negative,539.035714285714,12.128580812588819,563.2928759108917,514.7785526605363
2018-05-21,AXISBANK,EQ,532.9,535.0,537.8,521.85,528.0,526.85,527.01,4258800,2244445550.9,53676,1811516,42.54,-1.135297429161186,Negative,539.7178571428569,11.030963538758998,561.779784220375,517.6559300653389
2018-05-22,AXISBANK,EQ,526.85,528.4,533.5,520.65,522.8,523.3,527.76,4711540,2486575643.25,82226,2159460,45.83,-0.6738160766821766,Slight negative,539.6857142857141,11.08161034832537,561.8489349823649,517.5224935890633
